product_id|modifier_id|group_name|modifier_min|modifier_max|options
19809248172|19809248208|greens & grains|0|2|[{'option_name': 'spinach', 'option_price': 0}]
19809248172|19809248221|protein|1|1|[{'option_name': 'chicken kebab', 'option_price': 0}]
19809248172|19809248223|toppings|0|8|[{'option_name': 'classic hummus', 'option_price': 0}, {'option_name': 'turkish salad', 'option_price': 0}, {'option_name': 'lebanese tabbouleh', 'option_price': 0}, {'option_name': 'spicy feta dip', 'option_price': 0}, {'option_name': 'roasted vegetables', 'option_price': 0}, {'option_name': 'greek beet dip', 'option_price': 0}, {'option_name': 'pickled beets', 'option_price': 0}, {'option_name': 'dried cranberries', 'option_price': 0}]
19809248172|19809248230|sauce|0|2|[{'option_name': 'tzatziki', 'option_price': 0}, {'option_name': 'balsamic vinaigrette', 'option_price': 0}]
19809248138|19809248204|greens & grains|1|1|[{'option_name': 'mixed greens', 'option_price': 0}]
19809248138|19809248222|protein|1|1|[{'option_name': 'falafel', 'option_price': 0}]
19809248138|19809248213|toppings|0|7|[{'option_name': 'turkish salad', 'option_price': 0}, {'option_name': 'lebanese tabbouleh', 'option_price': 0}, {'option_name': 'israeli couscous', 'option_price': 0}, {'option_name': 'classic hummus', 'option_price': 0}, {'option_name': 'turkish yogurt dip', 'option_price': 0}, {'option_name': 'chickpea salad', 'option_price': 0}, {'option_name': 'pickled turnips', 'option_price': 0}]
19809248138|19809248211|sauce|1|1|[{'option_name': 'greek feta', 'option_price': 0}]
19809248070|19809248215|greens & grains|0|2|[{'option_name': 'spinach', 'option_price': 0}, {'option_name': 'kale', 'option_price': 0}]
19809248070|19809248217|protein|0|2|[{'option_name': 'falafel', 'option_price': 0}, {'option_name': 'vegetable kefta', 'option_price': 0}]
