id|category_name|item_name|item_description|item_price
18113240785|Combos|Combo1 - Idli (3) Vada(1)|Steamed savory cakes made from rice and lentil batter fluffy & soft Idli (3), Crispy savory doughnuts made of Urad lentils batter deep fried (1), served with 3 chutneys and sambar on the side|999
18592691652|Combos|Combo2 - Idli (1) Vada(1) & Plain Dosa|Steamed savory cakes made from rice and lentil batter fluffy & soft Idli (1),  Crispy savory doughnuts made of Urad lentils batter deep fried (1), Savory crepe made of rice & lentil batter served with 3 chutneys and sambar on the side|1050
18120302409|Combos|Combo3 - Idli (1) Vada(1) & Masala Dosa|Steamed savory cakes made from rice and lentil batter fluffy & soft Idli (1),  Crispy savory doughnuts made of Urad lentils batter deep fried (1), Savory crepe made of rice & lentil batter served with seasoned potato masala, 3 chutneys and sambar on the side|1150
18118556379|Combos|"Combo5 - Idli (1) Vada(1) & Pongal (12Oz) | $10.99"|Steamed savory cakes made from rice and lentil batter fluffy & soft Idli (1),   Crispy savory doughnuts made of Urad lentils batter deep fried (1), 12Oz Pongal savory dish cooked with rice and moong dal and tempered with clarified butter, green chilies, black pepper and ginger  served with 3 chutneys and sambar on the side|1099
18594865116|Combos|Combo6 - Idli (1) Vada(1) & Upma (12Oz)|Steamed savory cakes made from rice and lentil batter fluffy & soft Idli (1),   Crispy savory doughnuts made of Urad lentils batter deep fried (1), 12Oz Upma Samolina (sooji) sautéed with butter, onions, chilies, ginger and cooked as a thick porridge, served with 3 chutneys and sambar on the side|1099
18590461209|Combos|Combo7 – Mini Idli (7) Vada(1) & Masala Dosa |Steamed savory mini cakes made from rice and lentil batter fluffy & soft Idli (7),  Crispy savory doughnuts made of Urad lentils batter deep fried (1), Savory crepe made of rice & lentil batter served with seasoned potato masala, 3 chutneys and sambar on the side|1099
18120480530|Combos|Combo9 - Idli (2) Vada(2)|Steamed savory cakes made from rice and lentil batter fluffy & soft Idli (2),  Crispy savory doughnuts made of Urad lentils batter deep fried (2), served with 3 chutneys and sambar on the side|1050
10521747376|Standout Starters|Mt. Mirchi Bhaji|(ONLY AVAILABLE AFTER 11:30AM. IF ORDERED BEFORE THAT TIME, IT WILL NOT BE INCLUDED IN ORDER) Serrano Chilies coated with besan flour and spices deep fried – served with chutney|769
10521747436|Standout Starters|Cut To The Mirchi|(ONLY AVAILABLE AFTER 11:30AM. IF ORDERED BEFORE THAT TIME, IT WILL NOT BE INCLUDED IN ORDER) Serrano Chilies coated with besan flour and spices deep fried, cut into pieces – served with chutney|769
10521747383|Standout Starters|Pingu's Punugulu|(ONLY AVAILABLE AFTER 11:30AM. IF ORDERED BEFORE THAT TIME, IT WILL NOT BE INCLUDED IN ORDER) Crispy, bite-sized snack made from idli bater with chilies, onions and spices – served with chutney |769
18115415201|Standout Starters|Masala Vada|(ONLY AVAILABLE AFTER 11:30AM. IF ORDERED BEFORE THAT TIME, IT WILL NOT BE INCLUDED IN ORDER) Crispy, bite-sized snack made from idli bater with chilies, onions and spices – served with chutney Crispy, snack made from chana dal with chilies, onions and spices. Served with chutney and Sambar.|799
18129847057|Special Dose Of Dosas|Paneer Burji Dosa|Savory crepe made of rice & lentil batter topped off with house special Paneer spread (Indian cottage cheese) - served with chutneys and Sambar|1250
18120302410|Special Dose Of Dosas|Palak Paneer Dosa|Savory crepe made of rice & lentil batter topped off with house special Spinach and Paneer spread (Indian cottage cheese) - served with chutneys and Sambar|1250
