product_id|modifier_id|group_name|modifier_min|modifier_max|options
10164596074|10164596150|Choose Your Size|1|1|[{'option_name': 'Small', 'option_price': 1835}, {'option_name': 'Medium', 'option_price': 2035}, {'option_name': 'Large', 'option_price': 2335}, {'option_name': 'X Large', 'option_price': 2535}]
10164596074|10164596148|Add Extra Veggies|0||[{'option_name': 'Mushrooms', 'option_price': 145}, {'option_name': 'Spinach', 'option_price': 145}, {'option_name': 'Tomatoes', 'option_price': 145}, {'option_name': 'Onions', 'option_price': 145}, {'option_name': 'Peppers', 'option_price': 145}, {'option_name': 'Garlic', 'option_price': 145}, {'option_name': 'Jalapenos ', 'option_price': 145}, {'option_name': 'Olives', 'option_price': 145}, {'option_name': 'Pineapple', 'option_price': 145}]
10164596093|10164596150|Choose Your Size|1|1|[{'option_name': 'Small', 'option_price': 1835}, {'option_name': 'Medium', 'option_price': 2035}, {'option_name': 'Large', 'option_price': 2335}, {'option_name': 'X Large', 'option_price': 2535}]
10164596093|10164596148|Add Extra Veggies|0||[{'option_name': 'Mushrooms', 'option_price': 145}, {'option_name': 'Spinach', 'option_price': 145}, {'option_name': 'Tomatoes', 'option_price': 145}, {'option_name': 'Onions', 'option_price': 145}, {'option_name': 'Peppers', 'option_price': 145}, {'option_name': 'Garlic', 'option_price': 145}, {'option_name': 'Jalapenos ', 'option_price': 145}, {'option_name': 'Olives', 'option_price': 145}, {'option_name': 'Pineapple', 'option_price': 145}]
10164596133|10164596147|Choose Your Size|1|1|[{'option_name': 'Small', 'option_price': 1945}, {'option_name': 'Medium', 'option_price': 2145}, {'option_name': 'Large', 'option_price': 2445}, {'option_name': 'X Large', 'option_price': 2645}]
10164596133|10164596148|Add Extra Veggies|0||[{'option_name': 'Mushrooms', 'option_price': 145}, {'option_name': 'Spinach', 'option_price': 145}, {'option_name': 'Tomatoes', 'option_price': 145}, {'option_name': 'Onions', 'option_price': 145}, {'option_name': 'Peppers', 'option_price': 145}, {'option_name': 'Garlic', 'option_price': 145}, {'option_name': 'Jalapenos ', 'option_price': 145}, {'option_name': 'Olives', 'option_price': 145}, {'option_name': 'Pineapple', 'option_price': 145}]
10164596135|10164596147|Choose Your Size|1|1|[{'option_name': 'Small', 'option_price': 1945}, {'option_name': 'Medium', 'option_price': 2145}, {'option_name': 'Large', 'option_price': 2445}, {'option_name': 'X Large', 'option_price': 2645}]
10164596135|10164596148|Add Extra Veggies|0||[{'option_name': 'Mushrooms', 'option_price': 145}, {'option_name': 'Spinach', 'option_price': 145}, {'option_name': 'Tomatoes', 'option_price': 145}, {'option_name': 'Onions', 'option_price': 145}, {'option_name': 'Peppers', 'option_price': 145}, {'option_name': 'Garlic', 'option_price': 145}, {'option_name': 'Jalapenos ', 'option_price': 145}, {'option_name': 'Olives', 'option_price': 145}, {'option_name': 'Pineapple', 'option_price': 145}]
10164596092|10164596147|Choose Your Size|1|1|[{'option_name': 'Small', 'option_price': 1945}, {'option_name': 'Medium', 'option_price': 2145}, {'option_name': 'Large', 'option_price': 2445}, {'option_name': 'X Large', 'option_price': 2645}]
10164596092|10164596148|Add Extra Veggies|0||[{'option_name': 'Mushrooms', 'option_price': 145}, {'option_name': 'Spinach', 'option_price': 145}, {'option_name': 'Tomatoes', 'option_price': 145}, {'option_name': 'Onions', 'option_price': 145}, {'option_name': 'Peppers', 'option_price': 145}, {'option_name': 'Garlic', 'option_price': 145}, {'option_name': 'Jalapenos ', 'option_price': 145}, {'option_name': 'Olives', 'option_price': 145}, {'option_name': 'Pineapple', 'option_price': 145}]
