product_id|modifier_id|group_name|modifier_min|modifier_max|options
18129847057|10521747445|Additional Sides|0||[{'option_name': 'Single Idli', 'option_price': 250}, {'option_name': 'Single Vada', 'option_price': 250}, {'option_name': 'Yogurt Rice 16Oz', 'option_price': 715}, {'option_name': 'Bisibele Bath 16Oz', 'option_price': 715}, {'option_name': 'Tamarind Rice 16Oz', 'option_price': 715}]
18129847057|10521747444|Additional Drinks|0||[{'option_name': 'Coke', 'option_price': 175}, {'option_name': 'Diet Coke', 'option_price': 175}, {'option_name': 'Sprite', 'option_price': 175}, {'option_name': 'Butter MIlk', 'option_price': 299}, {'option_name': 'Tea', 'option_price': 250}, {'option_name': 'Filter Coffee', 'option_price': 325}]
18120302410|10521747445|Additional Sides|0||[{'option_name': 'Single Idli', 'option_price': 250}, {'option_name': 'Single Vada', 'option_price': 250}, {'option_name': 'Yogurt Rice 16Oz', 'option_price': 715}, {'option_name': 'Bisibele Bath 16Oz', 'option_price': 715}, {'option_name': 'Tamarind Rice 16Oz', 'option_price': 715}]
18120302410|10521747444|Additional Drinks|0||[{'option_name': 'Coke', 'option_price': 175}, {'option_name': 'Diet Coke', 'option_price': 175}, {'option_name': 'Sprite', 'option_price': 175}, {'option_name': 'Butter MIlk', 'option_price': 299}, {'option_name': 'Tea', 'option_price': 250}, {'option_name': 'Filter Coffee', 'option_price': 325}]
18592691656|10521747445|Additional Sides|0||[{'option_name': 'Single Idli', 'option_price': 250}, {'option_name': 'Single Vada', 'option_price': 250}, {'option_name': 'Yogurt Rice 16Oz', 'option_price': 715}, {'option_name': 'Bisibele Bath 16Oz', 'option_price': 715}, {'option_name': 'Tamarind Rice 16Oz', 'option_price': 715}]
18592691656|10521747444|Additional Drinks|0||[{'option_name': 'Coke', 'option_price': 175}, {'option_name': 'Diet Coke', 'option_price': 175}, {'option_name': 'Sprite', 'option_price': 175}, {'option_name': 'Butter MIlk', 'option_price': 299}, {'option_name': 'Tea', 'option_price': 250}, {'option_name': 'Filter Coffee', 'option_price': 325}]
10521747417|10521747445|Additional Sides|0||[{'option_name': 'Single Idli', 'option_price': 250}, {'option_name': 'Single Vada', 'option_price': 250}, {'option_name': 'Yogurt Rice 16Oz', 'option_price': 715}, {'option_name': 'Bisibele Bath 16Oz', 'option_price': 715}, {'option_name': 'Tamarind Rice 16Oz', 'option_price': 715}]
10521747417|10521747444|Additional Drinks|0||[{'option_name': 'Coke', 'option_price': 175}, {'option_name': 'Diet Coke', 'option_price': 175}, {'option_name': 'Sprite', 'option_price': 175}, {'option_name': 'Butter MIlk', 'option_price': 299}, {'option_name': 'Tea', 'option_price': 250}, {'option_name': 'Filter Coffee', 'option_price': 325}]
10521747398|10521747445|Additional Sides|0||[{'option_name': 'Single Idli', 'option_price': 250}, {'option_name': 'Single Vada', 'option_price': 250}, {'option_name': 'Yogurt Rice 16Oz', 'option_price': 715}, {'option_name': 'Bisibele Bath 16Oz', 'option_price': 715}, {'option_name': 'Tamarind Rice 16Oz', 'option_price': 715}]
10521747398|10521747444|Additional Drinks|0||[{'option_name': 'Coke', 'option_price': 175}, {'option_name': 'Diet Coke', 'option_price': 175}, {'option_name': 'Sprite', 'option_price': 175}, {'option_name': 'Butter MIlk', 'option_price': 299}, {'option_name': 'Tea', 'option_price': 250}, {'option_name': 'Filter Coffee', 'option_price': 325}]
18118142881|10521747445|Additional Sides|0||[{'option_name': 'Single Idli', 'option_price': 250}, {'option_name': 'Single Vada', 'option_price': 250}, {'option_name': 'Yogurt Rice 16Oz', 'option_price': 715}, {'option_name': 'Bisibele Bath 16Oz', 'option_price': 715}, {'option_name': 'Tamarind Rice 16Oz', 'option_price': 715}]
